#{"t_start": 1765103878.5586216, "env_id": "None"}
r,l,t
-5.3351893,8,73.724383
-60.169514,200,73.73293
-505.59628,200,73.741953
-481.9032,200,73.762884
-61.555763,200,74.290603
-82.55949,200,74.295685
-463.89474,200,75.708552
-60.11938,200,75.75215
-60.714092,200,75.752282
-66.869865,200,75.763787
-58.80542,200,75.775121
-59.998024,200,75.796625
-60.35388,200,75.80904
-60.43817,200,75.813612
-58.705177,200,77.740211
-61.363407,200,78.269634
-58.525024,200,78.269797
-65.626526,200,78.281024
-494.9936,200,78.289647
-63.90854,200,78.310522
-59.710846,200,78.326181
-64.70025,200,78.330829
-62.517715,200,79.635661
-65.907,200,79.676356
-76.83601,200,79.67652
-74.91358,200,79.688153
-63.385216,200,79.699057
-483.19986,200,79.718086
-65.395096,200,79.730701
-80.27649,200,79.735362
-70.12304,200,81.563862
-494.6276,200,81.603688
-56.76655,200,81.60385
-63.73947,200,81.615411
-56.634407,200,81.625497
-58.427876,200,81.646707
-58.748184,200,81.661701
-57.93855,200,81.666049
-63.53533,200,83.08661
-67.9981,200,83.132484
-61.582596,200,83.132637
-498.90085,200,83.144751
-473.0826,200,83.156971
-57.291824,200,83.179592
-61.16548,200,83.196291
-58.809998,200,83.20359
-67.31856,200,85.156066
-59.59126,200,85.194585
-63.384033,200,85.19478
-60.121887,200,85.20648
-61.222137,200,85.218935
-58.28438,200,85.237976
-62.912663,200,85.253251
-61.190216,200,85.260003
-58.71718,200,86.966527
-57.17132,200,87.002305
-62.158955,200,87.002468
-62.887913,200,87.014269
-75.78468,200,87.025297
-71.31239,200,87.043741
-57.64467,200,87.057771
-62.749607,200,87.064503
-61.41942,200,88.998134
-57.705223,200,89.040182
-62.6974,200,89.04037
-57.19896,200,89.051251
-57.40269,200,89.062235
-497.71674,200,89.081632
-58.213703,200,89.094978
-58.686436,200,89.101329
-75.70044,200,90.602015
-62.50702,200,90.651263
-63.09998,200,90.651422
-65.91911,200,91.476328
-57.289207,200,91.48447
-59.237423,200,91.503764
-59.49299,200,91.517368
-78.94678,200,91.522144
-59.4526,200,93.076805
-57.68303,200,93.12973
-56.056133,200,93.129883
-59.392662,200,93.14259
-473.69684,200,93.156054
-107.25202,200,93.183403
-58.218586,200,93.204284
-57.456703,200,93.211617
-61.11336,200,95.414115
-59.99626,200,95.441114
-63.92796,200,95.441209
-65.535385,200,95.448227
-61.65599,200,95.454504
-60.794804,200,95.468092
-59.16111,200,95.479242
-64.37478,200,95.483988
-105.23344,200,96.446363
-58.228504,200,96.484771
-57.532234,200,96.4849
-57.82314,200,96.496517
-64.98508,200,96.508744
-59.93971,200,96.528959
-57.252453,200,96.545699
-60.98948,200,96.552461
-60.708153,200,98.022186
-61.666046,200,98.050673
-60.822853,200,98.050788
-59.918255,200,98.059033
-63.637867,200,98.067678
-60.53416,200,98.082246
-60.63988,200,98.092596
-71.03475,200,98.096056
-63.269432,200,99.027431
-69.94977,200,99.057608
-59.705196,200,99.057722
-64.37701,200,99.066151
-67.04659,200,99.074548
-62.491673,200,99.089001
-57.10895,200,99.098995
-59.029068,200,99.10363
-67.967094,200,100.452344
-57.379772,200,100.476837
-59.58991,200,100.476933
-60.3921,200,100.48413
-64.28589,200,100.490614
-4.1195135,7,100.500282
-63.694183,200,100.503319
-63.18212,200,100.51287
-65.776825,200,100.516255
-66.58297,200,101.499943
-61.376785,200,101.528794
-59.823,200,101.536256
-65.78179,200,101.544912
-60.027668,200,101.557276
-58.982033,200,101.561212
-56.38455,200,101.967833
-62.448456,200,101.973185
-64.31829,200,103.090958
-64.04222,200,103.123687
-63.443672,200,103.132081
-60.835995,200,103.141233
-62.589172,200,103.151413
-59.222057,200,103.155671
-59.85996,200,103.168843
-64.39552,200,103.174174
-59.8413,200,104.296645
-59.696373,200,104.673754
-64.7758,200,104.681188
-62.11994,200,104.689274
-60.666496,200,104.702202
-63.17015,200,104.706792
-57.117886,200,104.71643
-64.67107,200,104.720056
-59.09672,200,105.745023
-62.34541,200,105.77279
-67.2907,200,105.780132
-60.36577,200,105.787579
-58.19007,200,105.798527
-61.882458,200,105.80257
-60.951195,200,105.813213
-61.345833,200,105.816669
-57.966183,200,107.252671
-57.21878,200,107.285077
-58.05423,200,107.293101
-59.04891,200,107.299301
-62.224483,200,107.311128
-59.465282,200,107.315031
-57.214012,200,107.328524
-61.420746,200,107.334966
-64.49251,200,108.302883
-62.65964,200,108.326812
-61.288467,200,108.333062
-57.669514,200,108.33982
-60.81075,200,108.350284
-59.366825,200,108.353858
-60.72345,200,108.367705
-56.711002,200,108.371723
-60.492565,200,109.569301
-60.530083,200,109.59571
-58.708588,200,109.60314
-60.32908,200,109.611631
-59.62848,200,109.622592
-61.834087,200,109.626607
-58.29048,200,109.637252
-63.29061,200,109.641271
-60.585102,200,110.536613
-61.19499,200,110.560932
-58.32485,200,110.56753
-60.776573,200,110.574698
-61.77907,200,110.585675
-60.737324,200,110.58974
-61.01741,200,110.600633
-58.899437,200,110.604725
-59.04703,200,111.986463
-58.989132,200,112.012998
-60.355164,200,112.019615
-59.575005,200,112.026489
-57.81394,200,112.036747
-60.498917,200,112.040271
-7.7774754,9,112.044192
-61.277214,200,112.050676
-64.70919,200,112.054708
-62.52728,200,113.030809
-57.023487,200,113.445822
-63.973896,200,113.454958
-59.411236,200,113.466956
-60.152977,200,113.472323
-63.40975,200,113.478296
-60.87307,200,113.488274
-58.908703,200,113.49423
-61.051636,200,114.526986
-60.11142,200,114.565613
-59.43498,200,114.574554
-60.91977,200,114.586811
-61.345535,200,114.591703
-58.84225,200,114.59588
-58.43669,200,114.604732
-57.241497,200,114.608937
-56.900074,200,115.899654
-61.413002,200,115.942801
-60.322433,200,115.955678
-59.249866,200,115.971112
-61.5041,200,115.976291
-58.068584,200,115.98149
-60.410965,200,115.992668
-61.90577,200,115.998316
-5.943364,8,116.045654
-6.087692,8,116.08845
-57.882385,200,117.158719
-59.88887,200,117.198507
-60.995304,200,117.207385
-57.903645,200,117.219447
-57.6899,200,117.224219
-59.08414,200,117.227547
-57.33449,200,117.240256
-4.205451,7,117.248044
-58.90587,200,117.294952
-62.890884,200,118.732177
-58.77674,200,118.768495
-59.4375,200,118.775764
-58.732513,200,118.789768
-58.81804,200,118.793659
-62.736137,200,118.804476
-59.03815,200,118.811157
-68.30429,200,118.854934
-58.02646,200,119.827958
-62.4478,200,119.866398
-57.8297,200,119.875946
-56.747356,200,119.892071
-59.87315,200,119.896275
-59.48841,200,119.909662
-57.111603,200,119.918013
-3.8531594,7,119.939215
-59.56762,200,120.311042
-60.39353,200,121.219638
-58.289818,200,121.254075
-59.97684,200,121.261983
-57.460705,200,121.276264
-58.088413,200,121.280797
-60.747074,200,121.301805
-58.064857,200,121.326825
-64.59947,200,121.359266
-58.849617,200,122.29878
-59.76452,200,122.338429
-60.345314,200,122.344812
-60.05827,200,122.359827
-58.677975,200,122.677731
-60.543465,200,122.694464
-59.10075,200,122.711462
-59.740078,200,122.739471
-58.31126,200,123.688069
-62.221317,200,123.727343
-62.854595,200,123.735493
-60.36882,200,123.756905
-61.181423,200,123.761034
-61.911148,200,123.77947
-58.63655,200,123.797081
-58.048405,200,123.828819
-58.93496,200,124.943396
-61.797604,200,125.306379
-61.263424,200,125.31541
-60.228752,200,125.329635
-63.57051,200,125.333108
-58.389843,200,125.348915
-61.091984,200,125.367823
-60.75774,200,125.395439
-62.597595,200,126.307378
-58.13279,200,126.344273
-59.86337,200,126.352328
-59.80985,200,126.368079
-62.93384,200,126.373454
-60.61442,200,126.391352
-59.241375,200,126.409778
-58.30866,200,126.441292
-56.820858,200,127.794467
-61.756363,200,127.911141
-57.12718,200,127.971536
-61.046192,200,127.990671
-63.093124,200,127.996142
-57.273838,200,128.050786
-59.890907,200,128.084402
-58.495453,200,128.130404
-59.162247,200,129.139435
-58.260914,200,129.179736
-57.660175,200,129.188592
-60.2921,200,129.208203
-57.63179,200,129.211949
-58.725002,200,129.230533
-60.793633,200,129.250741
-59.91338,200,129.282304
-5.3866076,8,129.642155
-58.07297,200,130.500273
-58.024357,200,130.534417
-57.656956,200,130.541493
-60.708584,200,130.556479
-60.884247,200,130.561928
-64.13119,200,130.583356
-64.33056,200,130.599688
-59.20914,200,130.666601
-61.123665,200,131.531951
-57.884384,200,131.572937
-60.136154,200,131.580452
-61.06625,200,131.59741
-59.061024,200,131.603334
-57.14566,200,131.623625
-57.39891,200,131.966964
-61.330914,200,132.022203
-61.40821,200,132.964663
-4.27236,7,132.99092
-58.557484,200,133.000349
-61.578453,200,133.007096
-60.20737,200,133.019922
-56.863235,200,133.02337
-58.65421,200,133.04019
-67.24501,200,133.058853
-58.537033,200,133.111893
-60.50759,200,133.938883
-58.542564,200,134.25774
-62.574898,200,134.264428
-1.5334406,5,134.264511
-62.21865,200,134.277056
-59.18024,200,134.280621
-59.62782,200,134.296433
-58.832806,200,134.311569
-62.490578,200,134.359843
-58.768723,200,135.206846
-58.332138,200,135.213455
